 radius  wavelength  VZA  VAA  HDRF ARF
    100  0.6500  0.8999990E+02  0.1350000E+03  0.3056863E+00  0.3148781E+00
    100  0.6500  0.8999990E+02  0.1360000E+03  0.3046238E+00  0.3137836E+00
    100  0.6500  0.8999990E+02  0.1370000E+03  0.3035900E+00  0.3127187E+00
    100  0.6500  0.8999990E+02  0.1380000E+03  0.3025870E+00  0.3116856E+00
    100  0.6500  0.8999990E+02  0.1390000E+03  0.3016175E+00  0.3106869E+00
    100  0.6500  0.8999990E+02  0.1400000E+03  0.3006835E+00  0.3097248E+00
    100  0.6500  0.8999990E+02  0.1410000E+03  0.2997860E+00  0.3088003E+00
    100  0.6500  0.8999990E+02  0.1420000E+03  0.2989249E+00  0.3079133E+00
    100  0.6500  0.8999990E+02  0.1430000E+03  0.2980984E+00  0.3070619E+00
    100  0.6500  0.8999990E+02  0.1440000E+03  0.2973038E+00  0.3062435E+00
    100  0.6500  0.8999990E+02  0.1450000E+03  0.2965379E+00  0.3054546E+00
    100  0.6500  0.8999990E+02  0.1460000E+03  0.2957965E+00  0.3046909E+00
    100  0.6500  0.8999990E+02  0.1470000E+03  0.2950765E+00  0.3039492E+00
    100  0.6500  0.8999990E+02  0.1480000E+03  0.2943744E+00  0.3032260E+00
    100  0.6500  0.8999990E+02  0.1490000E+03  0.2936889E+00  0.3025199E+00
    100  0.6500  0.8999990E+02  0.1500000E+03  0.2930192E+00  0.3018301E+00
    100  0.6500  0.8999990E+02  0.1510000E+03  0.2923664E+00  0.3011576E+00
    100  0.6500  0.8999990E+02  0.1520000E+03  0.2917327E+00  0.3005048E+00
    100  0.6500  0.8999990E+02  0.1530000E+03  0.2911202E+00  0.2998739E+00
    100  0.6500  0.8999990E+02  0.1540000E+03  0.2905326E+00  0.2992686E+00
    100  0.6500  0.8999990E+02  0.1550000E+03  0.2899728E+00  0.2986921E+00
    100  0.6500  0.8999990E+02  0.1560000E+03  0.2894435E+00  0.2981468E+00
    100  0.6500  0.8999990E+02  0.1570000E+03  0.2889464E+00  0.2976348E+00
    100  0.6500  0.8999990E+02  0.1580000E+03  0.2884829E+00  0.2971573E+00
    100  0.6500  0.8999990E+02  0.1590000E+03  0.2880529E+00  0.2967144E+00
    100  0.6500  0.8999990E+02  0.1600000E+03  0.2876547E+00  0.2963043E+00
    100  0.6500  0.8999990E+02  0.1610000E+03  0.2872872E+00  0.2959257E+00
    100  0.6500  0.8999990E+02  0.1620000E+03  0.2869478E+00  0.2955760E+00
    100  0.6500  0.8999990E+02  0.1630000E+03  0.2866337E+00  0.2952526E+00
    100  0.6500  0.8999990E+02  0.1640000E+03  0.2863421E+00  0.2949522E+00
    100  0.6500  0.8999990E+02  0.1650000E+03  0.2860709E+00  0.2946729E+00
    100  0.6500  0.8999990E+02  0.1660000E+03  0.2858178E+00  0.2944121E+00
    100  0.6500  0.8999990E+02  0.1670000E+03  0.2855809E+00  0.2941681E+00
    100  0.6500  0.8999990E+02  0.1680000E+03  0.2853593E+00  0.2939399E+00
